,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
452,E14000560,0.473,Preet Kaur Gill MP,"Birmingham, Edgbaston",7281,470,2017 General Election,68091,6917,Lab Hold,43612,Preet Kaur Gill,91.0,AyeVote,Preet Kaur Gill,AyeVote,AyeVote,AyeVote,NoVote,,,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
453,E14000802,0.471837972,David Rutley MP,Macclesfield,9497,836,2017 General Election,75228,8608,Con Hold,54307,David Rutley,89.0,NoVote,David Rutley,NoVote,NoVote,NoVote,,,,,,,,,AyeVote,AyeVote,AyeVote
454,E14000730,0.471793551,Andrew Jones MP,Harrogate and Knaresborough,9594,824,2017 General Election,77280,18168,Con Hold,56740,Andrew Jones,89.0,NoVote,Andrew Jones,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
455,E14000786,0.471421738,Maria Caulfield MP,Lewes,12205,872,2017 General Election,70941,5508,Con Hold,54192,Maria Caulfield,91.0,NoVote,Maria Caulfield,NoVote,NoVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,NoVote
456,E14000601,0.4714179143,Karin Smyth MP,Bristol South,13797,753,2017 General Election,83012,15987,Lab Hold,54382,Karin Smyth,88.0,AyeVote,Karin Smyth,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
457,E14001037,0.470561736,Tim Farron MP,Westmorland and Lonsdale,8356,733,2017 General Election,66391,777,LD Hold,51687,Tim Farron,87.0,AyeVote,Tim Farron,,AyeVote,AyeVote,NoVote,,,,,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
458,E14000567,0.469,Steve McCabe MP,"Birmingham, Selly Oak",8760,578,2017 General Election,74370,15207,Lab Hold,48985,Steve McCabe,89.0,AyeVote,Steve McCabe,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
459,E14000599,0.4679527183,Kerry McCarthy MP,Bristol East,10918,665,2017 General Election,72415,13394,Lab Hold,50799,Kerry McCarthy,90.0,AyeVote,Kerry McCarthy,AyeVote,,AyeVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
460,E14000969,0.4678932178932179,Ann Coffey MP,Stockport,7928,555,2017 General Election,64236,14477,Lab Hold,41544,Ann Coffey,87.0,AyeVote,Ann Coffey,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote
461,E14000589,0.46740854438475316,Naz Shah MP,Bradford West,2989,367,2017 General Election,67568,21902,Lab Hold,45528,Naz Shah,84.0,AyeVote,Naz Shah,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
462,E14001042,0.46659077,Adam Afriyie MP,Windsor,10423,896,2017 General Election,73595,22384,Con Hold,53921,Adam Afriyie,89.0,NoVote,Adam Afriyie,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
463,E14000551,0.465816411,Bob Stewart MP,Beckenham,10294,701,2017 General Election,67925,15087,Con Hold,51630,Bob Stewart,88.0,NoVote,Bob Stewart,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote
464,E14001043,0.46548941644252134,Alison McGovern MP,Wirral South,5797,596,2017 General Election,57670,8323,Lab Hold,45195,Alison McGovern,91.0,AyeVote,Alison McGovern,AyeVote,AyeVote,AyeVote,NoVote,,NoVote,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
